01:15:06.687 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8489
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8995
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8996
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8997
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8998
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#8999
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9000
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9001
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9002
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9003
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9004
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9005
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9006
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9007
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9008
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9009
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9010
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9011
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9012
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9013
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9014
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9015
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9016
01:15:06.689 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9017
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9018
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9019
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9020
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9021
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9022
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9023
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9024
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9025
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9026
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9027
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9028
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9029
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9030
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9031
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9032
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9033
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9034
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9035
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9036
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9037
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9038
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9039
01:15:06.690 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9040
