01:15:06.709 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9279
01:15:06.709 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8707
01:15:06.709 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9059
01:15:06.711 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8708
01:15:06.711 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9280
01:15:06.711 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9060
01:15:06.711 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9281
01:15:06.711 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8709
01:15:06.711 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9061
01:15:06.711 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8710
01:15:06.711 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9282
01:15:06.711 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9062
01:15:06.711 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9283
01:15:06.711 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8711
01:15:06.711 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9063
01:15:06.711 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8712
01:15:06.711 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9284
01:15:06.711 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9064
01:15:06.711 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9285
01:15:06.711 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8713
01:15:06.711 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9065
01:15:06.711 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8714
01:15:06.711 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9286
01:15:06.711 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9066
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9287
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8715
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9067
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8716
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9288
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9068
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9289
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8717
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9069
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8718
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9290
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9070
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9291
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8719
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9071
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8720
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9292
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9072
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9293
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8721
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9073
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8722
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9294
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9074
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9295
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8723
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9075
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8724
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9296
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9076
01:15:06.712 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9297
01:15:06.712 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8725
01:15:06.712 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9077
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8726
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9298
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9078
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9299
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8727
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9079
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8728
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9300
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9080
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9301
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8729
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9081
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8730
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9302
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9082
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9303
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8731
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9083
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8732
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9304
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9084
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9305
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8733
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9085
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8734
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9306
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9086
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9307
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8735
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9087
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8736
01:15:06.713 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9308
01:15:06.713 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9088
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9309
01:15:06.713 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8737
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9089
01:15:06.714 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8738
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9310
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9090
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9311
01:15:06.714 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8739
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9091
01:15:06.714 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8740
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9312
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9092
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9313
01:15:06.714 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8741
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9093
01:15:06.714 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8742
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9314
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9094
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9315
01:15:06.714 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8743
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9095
01:15:06.714 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8744
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9316
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9096
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9317
01:15:06.714 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8745
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9097
01:15:06.714 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8746
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9098
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9318
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9099
01:15:06.714 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9319
01:15:06.714 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8747
01:15:06.714 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9100
01:15:06.715 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#8748
01:15:06.715 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9320
