01:15:06.774 [Norm] INFO  com.bogdevich.task3.test.PriorThread - Norm#9857
01:15:06.777 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9322
01:15:06.776 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9951
01:15:06.777 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9323
01:15:06.777 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9952
01:15:06.777 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9324
01:15:06.777 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9953
01:15:06.777 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9325
01:15:06.777 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9954
01:15:06.777 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9326
01:15:06.777 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9955
01:15:06.777 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9327
01:15:06.777 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9956
01:15:06.777 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9328
01:15:06.777 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9957
01:15:06.777 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9329
01:15:06.777 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9958
01:15:06.777 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9330
01:15:06.777 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9959
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9331
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9960
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9332
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9961
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9333
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9962
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9334
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9963
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9335
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9964
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9336
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9965
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9337
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9966
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9338
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9967
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9339
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9968
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9340
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9969
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9341
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9970
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9342
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9971
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9343
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9972
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9344
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9973
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9345
01:15:06.778 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9974
01:15:06.778 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9346
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9975
01:15:06.779 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9347
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9976
01:15:06.779 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9348
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9977
01:15:06.779 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9349
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9978
01:15:06.779 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9350
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9979
01:15:06.779 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9351
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9980
01:15:06.779 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9352
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9981
01:15:06.779 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9353
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9982
01:15:06.779 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9354
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9983
01:15:06.779 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9355
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9984
01:15:06.779 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9356
01:15:06.779 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9985
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9357
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9986
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9358
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9987
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9359
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9988
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9360
01:15:06.780 [Min] INFO  com.bogdevich.task3.test.PriorThread - Min#9989
01:15:06.780 [Max] INFO  com.bogdevich.task3.test.PriorThread - Max#9361
